champion_id,champion_name,level,hp,mp,armor,spellblock,attackdamage,attackspeed,hpregen,mpregen
Aatrox,아트록스,1,650,0.0,38.0,32.0,60.0,0.651,3.0,0.0
Aatrox,아트록스,2,764,0.0,42.45,34.05,65.0,0.667275,4.0,0.0
Aatrox,아트록스,3,878,0.0,46.9,36.1,70.0,0.6835500000000001,5.0,0.0
Aatrox,아트록스,4,992,0.0,51.35,38.15,75.0,0.699825,6.0,0.0
Aatrox,아트록스,5,1106,0.0,55.8,40.2,80.0,0.7161000000000001,7.0,0.0
Aatrox,아트록스,6,1220,0.0,60.25,42.25,85.0,0.732375,8.0,0.0
Aatrox,아트록스,7,1334,0.0,64.7,44.3,90.0,0.7486499999999999,9.0,0.0
Aatrox,아트록스,8,1448,0.0,69.15,46.349999999999994,95.0,0.7649250000000001,10.0,0.0
Aatrox,아트록스,9,1562,0.0,73.6,48.4,100.0,0.7812,11.0,0.0
Aatrox,아트록스,10,1676,0.0,78.05000000000001,50.45,105.0,0.797475,12.0,0.0
Aatrox,아트록스,11,1790,0.0,82.5,52.5,110.0,0.81375,13.0,0.0
Aatrox,아트록스,12,1904,0.0,86.95,54.55,115.0,0.830025,14.0,0.0
Aatrox,아트록스,13,2018,0.0,91.4,56.599999999999994,120.0,0.8463,15.0,0.0
Aatrox,아트록스,14,2132,0.0,95.85,58.65,125.0,0.862575,16.0,0.0
Aatrox,아트록스,15,2246,0.0,100.30000000000001,60.699999999999996,130.0,0.8788500000000001,17.0,0.0
Aatrox,아트록스,16,2360,0.0,104.75,62.75,135.0,0.8951250000000001,18.0,0.0
Aatrox,아트록스,17,2474,0.0,109.2,64.8,140.0,0.9114,19.0,0.0
Aatrox,아트록스,18,2588,0.0,113.65,66.85,145.0,0.927675,20.0,0.0
Ahri,아리,1,590,418.0,21.0,30.0,53.0,0.668,2.5,8.0
Ahri,아리,2,694,443.0,25.7,31.3,56.0,0.6826960000000001,3.1,8.8
Ahri,아리,3,798,468.0,30.4,32.6,59.0,0.697392,3.7,9.6
Ahri,아리,4,902,493.0,35.1,33.9,62.0,0.712088,4.3,10.4
Ahri,아리,5,1006,518.0,39.8,35.2,65.0,0.7267840000000001,4.9,11.2
Ahri,아리,6,1110,543.0,44.5,36.5,68.0,0.7414800000000001,5.5,12.0
Ahri,아리,7,1214,568.0,49.2,37.8,71.0,0.7561760000000001,6.1,12.8
Ahri,아리,8,1318,593.0,53.9,39.1,74.0,0.770872,6.7,13.600000000000001
Ahri,아리,9,1422,618.0,58.6,40.4,77.0,0.785568,7.3,14.4
Ahri,아리,10,1526,643.0,63.300000000000004,41.7,80.0,0.800264,7.8999999999999995,15.2
Ahri,아리,11,1630,668.0,68.0,43.0,83.0,0.81496,8.5,16.0
Ahri,아리,12,1734,693.0,72.7,44.3,86.0,0.8296560000000001,9.1,16.8
Ahri,아리,13,1838,718.0,77.4,45.6,89.0,0.8443520000000001,9.7,17.6
Ahri,아리,14,1942,743.0,82.1,46.900000000000006,92.0,0.859048,10.3,18.4
Ahri,아리,15,2046,768.0,86.8,48.2,95.0,0.8737440000000001,10.9,19.200000000000003
Ahri,아리,16,2150,793.0,91.5,49.5,98.0,0.8884400000000001,11.5,20.0
Ahri,아리,17,2254,818.0,96.2,50.8,101.0,0.9031360000000002,12.1,20.8
Ahri,아리,18,2358,843.0,100.9,52.1,104.0,0.9178320000000001,12.7,21.6
Akali,아칼리,1,600,200.0,23.0,37.0,62.0,0.625,9.0,50.0
Akali,아칼리,2,719,200.0,27.7,39.05,65.3,0.645,9.9,50.0
Akali,아칼리,3,838,200.0,32.4,41.1,68.6,0.665,10.8,50.0
Akali,아칼리,4,957,200.0,37.1,43.15,71.9,0.685,11.7,50.0
Akali,아칼리,5,1076,200.0,41.8,45.2,75.2,0.7050000000000001,12.6,50.0
Akali,아칼리,6,1195,200.0,46.5,47.25,78.5,0.725,13.5,50.0
Akali,아칼리,7,1314,200.0,51.2,49.3,81.8,0.745,14.4,50.0
Akali,아칼리,8,1433,200.0,55.9,51.349999999999994,85.1,0.765,15.3,50.0
Akali,아칼리,9,1552,200.0,60.6,53.4,88.4,0.785,16.2,50.0
Akali,아칼리,10,1671,200.0,65.30000000000001,55.45,91.7,0.805,17.1,50.0
Akali,아칼리,11,1790,200.0,70.0,57.5,95.0,0.8250000000000001,18.0,50.0
Akali,아칼리,12,1909,200.0,74.7,59.55,98.3,0.845,18.9,50.0
Akali,아칼리,13,2028,200.0,79.4,61.599999999999994,101.6,0.865,19.8,50.0
